"category", "problem", "population", "xover_method", "xover_rate", "mut_rate", "mut_method", "mut_param", "sel_method", "sel_param", "fitness"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "210"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "214"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "214"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "218"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "214"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "212"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "210"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "216"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "205"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "206"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "205"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "205"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "205"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "205"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "210"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "214"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "205"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "207"
"crafted", "brock800_1.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "205"
